#{"t_start": 1622666921.248959, "env_id": null}
r,l,t
49.302687,11,742.201281
54.274708,12,743.147905
34.385764,8,743.771558
73.969132,16,745.020189
78.819853,17,746.350374
54.049561,11,747.215715
49.295458,11,748.090451
49.29819,10,748.883506
74.137459,16,750.151838
149.756069,24,752.064985
39.506539,9,752.782136
93.487938,20,754.229863
39.426406,9,754.951383
83.138755,17,756.248166
89.912082,17,757.599127
95.657458,18,758.982139
78.199927,13,760.012745
44.420158,9,760.735621
54.133066,11,761.612133
49.249802,10,762.40394
59.164565,13,763.432434
62.477608,11,764.30982
83.838328,18,765.707732
136.595591,24,767.664333
44.428726,10,768.505549
137.898093,28,770.761686
103.682439,22,772.634979
39.257186,8,773.270726
64.157074,14,774.360716
69.516083,13,775.403107
64.157525,14,776.534776
67.04062,13,777.57138
59.076921,12,778.535802
39.36912,8,779.175819
47.587801,9,779.901407
78.884313,16,781.178163
39.344072,8,781.826998
39.264698,8,782.450989
78.754161,16,783.717029
54.325865,12,784.66628
71.042156,14,785.777844
54.054725,11,786.66938
39.244249,8,787.315267
92.65321,16,788.631778
137.523263,27,790.736527
68.909723,14,791.824089
66.387992,12,792.797629
84.506587,17,794.119422
34.557103,8,794.750376
39.465246,9,795.48564
64.029853,13,796.488229
39.5313,9,797.215743
81.012182,17,798.518303
74.097659,16,799.746926
44.233248,10,800.530118
68.77501,14,801.657043
74.051799,15,802.862673
83.83713,17,804.157517
59.025343,13,805.162533
39.265278,8,805.810818
54.186326,11,806.667233
54.199624,12,807.59674
39.375426,8,808.229533
49.231886,11,809.100924
59.15345,12,810.063771
59.158373,13,811.085017
61.919097,11,811.984956
39.400802,9,812.767851
94.942413,18,814.184404
113.150746,21,815.788541
98.608582,20,817.347197
53.624892,11,818.226495
57.153923,11,819.114246
68.826855,11,820.012345
49.180264,10,820.790515
75.879277,12,821.750961
85.798101,15,822.931646
54.158243,12,823.873618
79.244735,13,824.894911
69.218472,15,826.072438
95.733658,19,827.596856
39.438655,9,828.313456
64.019445,13,829.353788
108.726203,23,831.161312
49.20943,11,832.045094
53.627181,11,832.933625
39.45689,9,833.639604
63.947713,14,834.763367
39.329009,8,835.392192
58.306531,11,836.273192
47.466864,10,837.082159
39.346694,8,837.705001
78.836158,16,838.963106
53.632231,11,839.834203
44.391588,10,840.606294
39.420643,8,841.24633
100.516473,19,842.759782
